id	A	B	C	D	E	F	G
0				B2	A3	A3	
1				B2	A3	A3	A3
2	B2	C3	B2				
3		B2	B2	B2	B2	C2	
4		B2	B2	C3	C3	C2	B2
5			B2	C3	C3	C3	
6	B2	B2	A3	A3			
7	A1	A1	A2	A1	A2	A2	
8	B2	C2	B2				
9	B2	C2	B1	B1	C2	C2	C1
11	B2	B2	A2	B1	B1	C1	B2
12	B2	A1	A1	B2			
13	A1	A1	B1	C1	B1	A1	B1
14	A2	A2	B2	C2	B3	B3	A2
15		A1	A1	A1			
16	B2	B2	B1	A1	B2	C2	C3
17	B2	A2	B3	B3	B3	A2	A2
18	A1	A1	B1	B1	B1	A2	A3
19	B1	C1	C2	C3	B2	B2	B1
20	B2	A3	B2	A2	A2	B2	B2
21	A1	A1	A2	A2	A2	B2	B1
22	B2	C1	C1	C2			
23	B2	A1	A1	B1	A2	A2	
24	B2	C1	C1	B2			
