id	A	B	C	D	E	F	G
0		B3	A4	A4	A4	A4	
1	C3	C3	D4	C3	B3		
2					B3	A3	A3
3			C2	D2	D2	D2	C4
4			C3	D3	D3	D3	D3
5					C2	C1	C1
6				B2	B1	B1	B1
7					B2	B2	B2
8					C2	C2	C2
9			C3	C4	C4	B3	A1
10			C2	C1	C1	C1	C1
11				B3	B4	B4	B4
12					B3	B3	B3
13				C2	D1	D1	D1
14					B3	A4	A4
15					C2	D1	D1
16				B2	A1	A1	A1
17	C2	C2					
18			B3	B4	B4	B4	B4
19				C2	D2	D2	D2
20				B3	A4	A4	A4
21			C3	D4	D4	D4	D4
22			C2	D2	D2	D2	D2
23			B3	A4	A4	A4	B3
24					B3	A3	A3
25				B2	B1	B1	B1
26					B2	A1	A1
27						B3	A3
28				C2	D1	D1	D1
