id	A	B	C	D	E	F	G
0		B2	B2	B1			
1		B2	B2	B2	A2		
2		B2	B2	B2	C3	B2	
3		B2	B2	B2	A2	B1	B1
4	A1	B1	B2	B3	A3	A2	A1
5	B2	C1	C1	C1	C1	C2	C2
6		A2	A2	A1	B1	A1	B1
7	B1	B1	C2	C3	B2		
8	B2	C2	C2	C2	C2	B2	
9	B2	B1	B1	B1	B2	B3	A3
10	B2	C3	C3	C2	C2		
11		B2	C2	C2	B2		
12	B2	A1	A1	A1	A1		
13	B2	A3	A3	A2			
14	A1	B1	B1				
15	B2	C3	B2	A2	A2		
16	A2	A1	B2	B2			
17		B2	B1	B1	B1	B1	B1
18	B2	A2	A3	A3	B2		
19		B2	B3	B3			
20	B	A2	A2	A2	A2	A3	B3
21		B2	A2				
22			B1	B1			
23		B2	A2	A2	A2	B3	B2
24		B2	A1	A1	A1		
25		B2	A1	A1	A1	A1	A1
26	B1	C1	C1	B2	B2		
27			B2	C3	C3	C2	
28					B2	B2	
29				A2	A1	A1	
30	A1	A1	B2	B2	A3	B2	
31				B2	B3	B3	B3
32	B2	C1	C1	C1	C2	C3	B2
